,Review,Rating
9177,I have purchased a NIKON D 3400 on OCTOBER 2017 within 8 months the product has stopped working and on 4/6/2018 I have given my NIKON D 3400 for servicing( order id CLT003004 ) and it's been a month now I haven't yet received my product after the concerned repair .I'm very much dissatisfied with their services .,1
9178,It's very nice product I'm very happy for this TQ Flipkart,3
9179,Nice,4
9180,Nice product,4
9181,Good product,4
9182,Bad quality bag,1
9183,"Best camera bag for small kit .. you can keep /i kept
a camera another lens , boya bymm1 mic , battery charger , uc filter box ausome quality must buy",5
9184,Nice 👍,5
9185,This bag is only perfect for one dslr with kit lens and one any other small lens like 50 mm,3
9186,Low quality product,1
9187,Good product,5
9188,Decent product for carrying camera,3
9189,Good quality,5
9190,Nice But Space Not Like its ok good,1
9191,Good product nice better than expected its big for 1500d camera,5
9192,Good,4
9193,Nice and good quality.,4
9194,Good product,3
9195,Nice product thank you flipkart 🤩,5
9196,Good product,5
9197,Quality is good,5
9198,Nice product but quality issue,5
9199,Great quality product at this price range. Totally satisfied,4
9200,Very poor material don't buy this,1
9201,"Product is ok. Have enough space to accommodate camera, one additional lens. Doesn't seems to original cannon product, but for this price it's a good buy.",4
9202,liked,5
9203,This is good bag. Quite spacious. Quality wise it's good.,5
9204,Good,4
9205,No so high quality. But worth the price..does its job. I got it for 499.,4
9206,"Nice ,,keep it up",5
9207,Very good Quality Thank you so much flipkart ❤️,4
9208,"Just go for it
It has enough space to keep additional 2 lens and quality is great 😊.",5
9209,Nice product 👍,5
9210,Goood product,5
9211,"Wonderful product, just like original Canon Bag",5
9212,Some clips Was missing and back was in damage condition,1
9213,Poor quality,2
9214,Super,5
9215,Wow,5
9216,Nice.1,5
9217,Very bad quality,1
9218,Just okey,4
9219,Worst bag.no branding.not much space..dissapointed,1
9220,Excellent space comfort to canon eos,5
9221,Nice bag.😀😀,5
9222,"Super
Quality",5
9223,Best,5
9224,Very nice product..... With cushion inside so that the camera lens wouldn't damage.... As well as big one to keep other accessories.... Tq flipkart,5
9225,Beat,5
9226,Quality is great. Happy with purchase.,4
9227,Not Good,2
9228,Product is good but there is bad odour comes vout from the bag and I have to wash it twice. Trust me my hands are smelling really bad now. I don't know why the bag is smelling bad.,3
9229,Very good quality,5
9230,Nice product. I'm happy 😁 and comfortable.,5
9231,Good,5
9232,Super quality,4
9233,Average,2
9234,Amezing nice quality at nice price good product but strap is too short but dont mind suitable on all persons,5
9235,Super quality 👍,5
9236,Super,5
9237,Good so thanks ❤,5
9238,Superb nice quality,5
9239,It is a low quality bag,1
9240,"Quality is very poor
Very hard material is used",2
9241,Inside case is not provided in this bag flipkart is cheated me,1
9242,Excellent bag for canon 1500d for single lens only quality is superb,5
9243,I very good product 👌...worth of money..I recommend to buy this item,4
9244,Good product 👍,5
9245,Good,5
9246,"Quality, design and comfort are so good for my 650d......but I don't know why there is no separator inside the bag( splitting cam body and accessories) in main space.....but even though the bag is worth for 5 stars...",5
9247,"Design patterns beautiful ,battery time super ,decent and clear sound quality with soft bass good product go for it",5
9248,Awesome Headphones. Amazing battery backup. Easy to carry because of light weight. Superb sound quality along with crystal clear ambient sound with effective noise cancellation and super deep bass. Just awesome wireless headphones with Voice Assistant and Premium in look. 👌👌👌,5
9249,"It definitely proves its class in terms of an overall balanced sound clarity. Great connectivity, great battery life, calling feature is extraordinary....catches even low voice very well. In terms of build quality its pure plastic, weighs quite light. You need to take extra care in terms of handling and u cant afford to drop it. Much scope of improvement in build quality according to price segment. It provides reasonable bass but not an extra bit as i was expecting. In terms of bass and loudn...",4
9250,"best product i use this for my gym purpose and watching movies
i use this headphones on REDMI K20 PRO it's have aptx,aac,bt.5.0

pros
1 very comfortable
2 noise isolation is great.
3 top-notch sound quality
4 AAC capable drive
5 call quality great opposite person can hear your voice very clearly
6 distance range was good no lagging issue

con's
1 i feel bass was little low
2 3.5mm jack port is missing

first i feel sound is not that much louder after i burn those speaker for few hours
...",5
9251,"This review is gonna long but very helpful.
Good for gamers read to the last for best review
I liked it very much ( Gives me about 40 hrs battery backup)
1. Bass is not like boat 510* but it's really good.
2. Battery Backup is awesome i got it 24th dec 2020 with 100% battery and charged it next year 😂 lol 1st jan 2021.
3. Vocals are really awesome ( for movies n music)
4. A balanced sound heaven for music n movie lover.
*Trust me guys who wants annoying bass like boat 510

Let's talk about i...",4
9252,I got this product within oneday its quite impressive at this price range ...sound clarity is awesome ....bass is very good and punchy .......Treble is also as fine and ok ....battery back up is great totally its a nice package for music lovers so thank you Flipkart and one thumbs to Sony..!,4
9253,"So, it's a review after using this for about 2 weeks. This is what I feel-

Pros-

• This is a Sony headphone and this is an advantage in itself. The Brand value and after sale sale service is premium
• I've seen people complaining about design and build and calling it uncomfortable. I think everyone have different ears and different need for comfortability and for me it is really comfortable. I don't mind the cushioning on the band as it really do not bother me. It looks simple and look clas...",4
9254,"Best quality headphones, pretty light weight, easy to carry, Vocals are so clear, Crystal clear sound, Bass is below average. This headphone is not for bass lovers. Battery backup is pretty good.",4
9255,"Be honest bro:)- build quality are cheap, Mic are bad(it's repeat your own voice like u r in the Hall.)
Sound quality are amazing 😍, battery are awesome. If u want good sounds ... Sorry ""best sound"" I must prefer it.",4
9256,The sound quality is spectacular. It has an amazing battery which lasts for 33hrs but it's design isn't up to to the mark. Would recommend it only if you take proper care of it. Please leave a like. Thank you for your time.,5
9257,"There is some pairing issue with Bluetooth 4.0 capable devices. Mic is not good. Noise cancellation is absent.
Did not expect this from SONY. After using for more than 11 months the batt is good but this headset has disconnected from my mobile, Smart TV many times . Even in the middle of the phone calls.

Poor quality product from SONY. I strongly do not recommend this product.",1
9258,"I am writing this review after 8 days of extreme usage.

This headset is great at this price range but the bass .... As many reviewers said that base is average this is extremely not for base lover, decent sounds quality with average bass + high conitivity + longer range made this product worth it. And yes this not for gaming so if u r gammers than this is not for u .

BUILT QUALITY
Hard plastic with standard quality and it looks also standard and head adjustment is also perfect

CONS
There...",5
9259,"Been using this headphones now from last 3 weeks. everything is good as expected from Sony. headphones sound really amazing even my small brother liked it.talking about the battery back then it last 4 days watched 7 movies and few series and still left 25% battery and headphones got type ""C"" charging port so kind of fast charging u can say. But the problem is the usb which is provided with headphones are too short. which might be give u trouble if u don't have near charging socket near your b...",4
9260,"I dont no why people says that the bass of this headphone is not so good but when i purchased this headphone the sound quality is top of the line and bass is also top of the line and the battery backup is about 32 hrs if u charge it once then it will go upto 8 days each day 4 to 4.5 hrs . I would conclude that this is the best headpones under 3500 , every one should grabe it and while playing pubg there was no lag in sound",5
9261,Product is Good I have given 5 stars but a bit of things i clarify that ... sound/Battery is Good But Value should be bit less.. though over all Best . One thing is that volume level is desent not to high and not to low ... but people who prefer high volume don't like that much .... Mic works very good btw i like it very much ... because the Battery is very I fully charged and goes to 3 to 4 days ... and when battery low it tells you to charge it... thats it.... 🙌,5
9262,"Awesome product from SONY it never compromise in sound. Good battery back up comes more than a week for normal usage,
sure we can trust and buy this ..",5
9263,"Audio is crystal clear
Bass is moderate
Battery life is awesome
Comfort is not that good, but will get used to it
No soft material on top
Mic is good for calling from indoor
Good to buy at a discounted price from 2500 to 3000",5
9264,"This is actually best headphones in this price range....
It has a very good sound quality but bass is average and battery backup is awesome.
I will recommend this product if you only want it to take it to office or business purpose only and you can use it for listening some music.This product is not for gaming.",5
9265,"Sound is good, sony is best but bass is little bit lower.

Feels tight and could’ve been better in fitting.

Battery backup is awesome, doesn’t need to get charged for week or more.

Though it doesn’t tell/show exact battery percentage, will only tell Battery is 100%, 70% and 50%. It won’t tell you the middle ranges.

And while on call, you hear your own sound or surrounding sound. It can be improved.",4
9266,"Very good sound quality...bass is also pretty good.
But the mic is what disappointed me, i could hear my own voice while talking to someone.
Also i wont recommend it for gaming like pubg as well, as there is a sound delay.
Otherwise its an awesome product with great sound and powered by very good battery backup.",4
9267,It is a very good product from sony Co.sound quality is very clear and bass is very sweet.it is easily comfort for ears and nicely adjustable...,5
9268,"MOST SUITABLE HEADSETS FOR LISTENING MUSIC AND GAMING . Specially For listening Music .
The Sound Quality us marvellous . The Sound is Perfumely clear in Full volume also . Got the delivery 2 days before . Awesome Experience with Flipkart.",5
9269,I did extensive research before buying this product. Many reviews on multiple websites write that it's not a good deal for heavy bass lovers. I had the same doubt till the time I got the product even though I placed the order thinking that Sony can't be so dumb to make a bassless headset in this price range. But I was right when I used the product. The bass is good enough for even bass lover if they can play a little with equalizer settings. Overall the sound clarity and balance are amazing. ...,5
9270,"writing this review after 5 days of use. Battery backup is amazing, sits very comfortably on the ears and suitable for long hours, light weight and elegant design. Not happy with the bass and build quality, the rough plastic surface finish but for the price of 3k, it's a good product.",4
9271,The Sony wh ch 510 is very beautiful product. sound quality very nice but bass quality not sacrifice.i am very happy the product...,5
9272,"Good product. Sound quality too good and light weight . battery is good quality though I have used it for few week. If you will turn on the power, it will tell you the percentage of battery charge.(full, 70%, 50%....). The percentage will show on the phone at the bluetooth application.",5
9273,Very nice and good looking headphone with super bass... And light weight easy to carry anywhere,5
9274,"Awesome Quality in this price, Best Battery backup, Fast charging with Type C, Voice quality is good 🎧",5
9275,"The headphones are a decent pair given the affordable price. Nice battery backup, connectivity is also kind of good, good to listen music to, but it is horrible for calling.
I had read some reviews saying that there is reverberation while calling, but that does not come close to explaining how horrible it sounds during calls. You can hear your own voice echo while speaking and the other person's voice is also not 'direct', sounds kind of hollow. Also the size is kind of compact, coming from S...",3
9276,"When I recieved the seal on the box was open and the packet looked very old...
The headphones were already unpacked just a taping was done .


I would not recommend this product if you are buying it above 3k rupees.
The built quality is very cheap.
Sound is just at par....
Bass is quite good at high volumes
Most of the time you will have to keep your volume full in order to enjoy music.
Volume overall is very low as compared to other headsets.
Battry bckup is extremely good .


Overall an av...",3
9277,"Awesome product but if u play games then you will experience a 3sec sound delay. sony app is not available for this headphones,for better sond.",5
9278,"Sound quality is great. Produces pure sound without much bass boost just like I needed.

Not a good choice if you are planning to use it for Work from home. Mic captures all the noise in the world except your voice. This problem multiplies when you sit in front of a cooler. Created many embarassing situations where I had answered some questions in a meeting. But no-one else could hear it.

Battery backup is excellent. I use it it for 5-6hours a day approximately. Charge lasts for 1-1.5 week...",3
9279,Best headphones for the price paid. Got it for 2999. These headphones have impeccable clarity with no distortions even at the maximum volume. Bass is balanced and natural - no artificial bass unlike most of the headphones which are there in the market. Sound is just as natural as it should be. Incredible battery life of 35 hours plus a type-c charger makes them super easy to use.,5
9280,"The Headphones are great at this price. Even though I would like the bass to be higher and battery life is amazing and cant get better than this. Comfort is ok not great or someone would expect from Sony, but overall very satisfied with the product.",4
9281,"I am writing the review after 4 months of purchase of product. I brought it for 3299.

Performance:-
The headphone is working complete great even after the 4 months of usage and I didn't find any fault or disturbance in the sound or headset.

Battery:-
The battery is amazing it gives us upto 35 hours of backup as mentioned in description. I use it for around 8 hours in a day and didn't have to charge for around 4-5 days. Overall my opinion is battery backup is just amazing. If you want best...",4
9282,"Pretty awesome



I was order it yesterday, i expect that to be deliver by tommorow. But, unexpectly they delivered it today and im so happy for that. I open the box and the headphones is pretty nice, the built quality is not that good but it ok for the price range. The sound quality is good so far. While having a phone call i observed some echo in the headphones but the call was clear though. I would like to recommend if you don't have a budget to buy a high range headphones than go for it....",4
9283,"The product has a plastic look and feel. While the bluetooth works well on audio, the microphone on the headset picks up ambient sounds and maginifies it. Some times, there is an echo while speaking. All in all, you can use this product for personal use, but not for formal or work calls / meetings. I bought this product because it was the only one that was not made in China - this one is made in Malaysia.",2
9284,"I am using this product from last month .my honest feedback is ,this is really nice product ,i find little bit expensive but it is SONY ,you may pay for the brand.

Product design good.sound quality also good though i will not say best but it will not disappointing you on this price range.
Battery is best part of this .i mostly use this for my office calls ,on a single charge it goes 3/4 days.

someone likes SONY ,you can go for this .",4
9285,Good budget with decent bass clear sound and a good mic,5
9286,Amazing Battery life...I charged it three days ago and used it quite a lot and still it has full charge.... amazing sound quality and bass... build quality is a bit delicate buy overall an amazing product at this rate,5
9287,"Bass is much much better than I expected... Comfortable to wear... 35 hours battery life as promised by the product...Easy to use interface and quite handy to be taken out in tours for enjoying quality time out of the house....Would recommend to buy it

Only problem is that it is completely made of plastic...So be cautious with the product...And avoid dropping it from a height...",5
9288,"It is worth its money ...?....
Its sound quality is the best among all . While keeping our device quite far away then also the sound quality remains the same . It tells us the battery too by speaking it up when we turn on the headphones.
Butttttt when wearing it for 4 to 5 hours continuously ears start paining a bit",5
9289,Nice product in this price sound quality is awesome and bass is also good nice build quality m happy 😊,5
9290,"Good Sound, Good Battery,
Extremely bad materials used. Plastic quality is found better on free toys from burger brands, than what Sony has used here. Even the padding is of worthless quality. Shame that a brand like sony has reduced quality to such a low level.",1
9291,"Finally I have used the product for 1week, i can say that the product is good but the connection range is low like 1 meter and when you make a call you fill like that you are talking in an microphone and the voice get eco....",4
9292,best wireless headphone in this range sound clarity is awesome bass was up to mark...if you are not much bass lover then go blindly for it....,5
9293,Good to have this product at this amount ..sonund is good crisp and clear but not good enough for bass lover,3
9294,"Overall this product is nice specially if you're looking for Sony's wireless products with decent sound while calling. For EDM lovers this product might get disappointed with Bass and all. At the con side this product heart your ears and also take time to get connected while switching from one to another device. At the pros side battery backup is very good, I have been using it since around 7hrs still charging is 70% same as I have started using it after it delivered to me yesterday. Overall...",4
9295,"Really an awesome sound clarity and best in output.

Pros:
Crystal clear music.
Comfortable and flexible.
Battery life to the top.
Can hear evey beat.

Cons:
If you prefer bass is more important, then this is not for you.
No 3.5 jack and charger area is open.",5
9296,"Quality sound with soft bass, easy to connect. Use it with all devices which support Bluetooth. Best battery backup. But you can feel the tightness on your ear after a hour of usage (not a big issue).",5
9297,"Product Delivered on sharp time. Thanks to flipkart and great appreciation for very best delivery service in such lockdown conditions.
Very good stereo sound and bass is average.
Built is very attractive.
I like this product.",5
9298,Yes it's a good product as the brand its self say s Sony. Battery back up is too good voice clarity on calls is too good more over u won't get any pain for long use. Price also comes in Budget.,5
9299,"Nice headphones. Good for calling purpose for zoom and other official meetings.
Nice sound quality. Good music quality and all looks too.
Comfort also good. It gives you best quality songs with any issues.
I loved the product, only need to see how it goes over years. Thank you. Nice headphones. Overall best headphones.
Bass is also good and clear sounds in highest volume to without pain and not huge bass if you bass lover only. Nice quality",4
9300,"I bought for office use
Mike quality is not good, however speaker is nice. So for two ways conversation, it’s not much recommended as having hissing sound captured from surrounding
It’s tough on ear, should have been softer for longer usage
Otherwise it’s nice for music lovers",3
9301,"Undoubtedly, SONY is a class! Go for it without any second thought. Headphones with superb sound quality with decent bass. I also used boat & JBL, but in terms of sound clarity & build quality , it’s just an awesome. Also, you will find very crystal clear sound. No pain or unconfortable while using headphones!!",5
9302,"The sound quality is unbeatable at this price, I have used a many Bluetooth heatsets and earpods, but this one from Sony has no comparison.
The only disappointment comes with the plastic material used, due to which it feels a low priced gadget.
If that doesn't matter to you, then just go for it.
Delivery was super fast even in the lockdown 5 stars to flipkart for it.",4
9303,"1. Sound quality is very clear.
2. ultimate bass.
3. ear cuffs are well cushioned.
4. ear cuff cover is far more better than other brands.
5. very light weight.
6. worth buying.",5
9304,"Good voice. Nice and light. Nice battery too.

Bass could have been better given the price. And also there is no audio jack.

M not returning coz its really light for an on the ear head phone.",4
9305,Nice entry level headphones with good audio quality and amazing battery life. Will recommend ?,4
9306,"Alright These Headphones From Sony Are Absolutely Worth Buying Basically At This Price Point These Headphones Are Worth Going For The Sound Is Great The Bass Is Indeed Good For This Price Range As Well As The Battery Life Which Is Indeed A Plus Point For These Headphones And Yes The Colour Looks Lovely
If Anyone Is Considering To Buy A Budget Pair Of Headphones The Sony CH510 Are Indeed The Ones You Should Be Looking For An Overall Good Product From Sony And Got A Amazing Deal For These Head...",5
9307,"It's is tight on the head but i think regular use make it as i needed .
Sound is pretty good so as battery backup. design can be improved some thing little more plain and simple. And they are not comfortable for long use.(because they are tight).built is not premium but not so dull i prefer a solid bag to carry them.overall they are best in the price range of 2 to 3 thousands",4
9308,"Pros:
Overall sound and build quality is nice for a branded product in this price range with Soft ear cushions.
Cons:
During phone calls there is a minor echo like effect on our side and not in the other end but for me I don't feel it as a serious con but that depends on everyone's personal preference.
(* It's my openion)
(*If you need a branded headphone from sony for this price you can defenitly check this one)",4
9309,"good bass, good design, good built quality, budget set, powerful battery, more comfortable for ears",4
9310,I really lobe it the bass is so good and the battery backup omg its the best i have used lot of Bluetooth headphones but this is one of the best the comfort it provides it also good,5
9311,"This is a nice product with good battery life. Would like to add that the battery life is not good, but Excellent..!!..",5
9312,Best headphone...#SONY always high👌,4
9313,"it sound is very good good product
but money is very high",4
9314,there is sound issues on calling,1
9315,"Since day one this product is having various issues.
1. Own voice gets echo while voice calling.
2. Mic voice is very very low during gaming
3. Synchronisation delay in voice duirng video play.
I've already attempted 4 replacement,return request but response to replace is very dissatisfied. Not a single resolution is given to soldve this problem. Technical person is not mentioning the fault as his senior manager asked him not to declare product as defective. Three technical visits, 12 custome...",1
9316,"Built quality sturdy but predominantly plastic, cushioning is good for the price. Bluetooth and battery are the no..1 advantage along with USB C..only complaint is a stange background noice during calls,kind of an echo.Not sure if the caller can hear the echo too. If a stereo port would be there than definitely a 5 star.",4
9317,Voice is echoing to other person while on call,2
9318,"Got the blue ones for 3.5K.
First of all it's not for Bass heads.
Croc skin texture and Sony branding is eye-catcher.
Biggest plus point is battery life. It's really really good. Used it for like 6 hours with music and calls still shows 100%
Biggest downside is weak build of the crown portion of headphone. You don't want to drop it or accidentally sit on it.
Fits perfectly, not gonna fall off and ear cups are comfy. Very light weight. Doesn't warm or pain ears after few hours of continuous ...",4
9319,One Star. Sony name stands for quality of sound. However the experience I was expecting out of the product was not there. I went for a refund and it was rejected. The reason I provided was that the sound is low than my expectation from Sony product as i own multiple products from Sony. Somehow Flipkart felt that it is not a reason for refund & rejected the same. Hence it seems ones dissatisfaction for the product is not sufficient reason. Flipkart lost one customer.,1
9320,"great headphones for on the go music and calling, audio quality and bass is wonderful. I found little latency during gaming so this one is not clearly for gaming at all.",4
9321,"Got few connecting problems to devices in the beginning... But later after trouble shooting with the help of flipkart reps and pairing to devices it was very good.. Sound quality is very good, battery back up is excellent. 😊😊 sony fans will love it.",4
9322,Eco in calling. Late sound in pubg . Not looking good for long term use because of painbij ear. First time disappointed with Sony.,1
9323,While calling Voice return back,1
9324,"Sound quality is the best . Headphone Material super, really amazing sound quality",5
9325,very good quality sound & design i like this item thankss Flipkart.,5
9326,Please don't take any product from Flipkart as three return policy is worst. This product has echo problem when we talk with any body u can hear echos. So I have returned this product the technician came and told that the product is ok he said I quote ' this much echos comes on every head set' the brand is good. But I prefer that not to by any product from Flipkart. It's not my vengeance it's my pain of RS 3290. After that isn't up to you.,1
9327,"Not good for calling purposes. You hear you own voice. Microphone catches even smallest sounds like mouse clicks, keyboard sound etc. For just music and occasional few quick calls this can be purchase but absolutely NO NO for calling purposes.",1
9328,"Very disappointing to have substandard product from sony. Bought it over several cheaper options in other brands but quality is very disappointing. Mic is of no use, dosn't catch your voice even on speaking loudly.",1
9329,"I am writing this review after 2 days i will update it after 6 months.
1.I have no issues with sound quality. The bass is not upto the mark but the sound is very clear.

2. The battery backup is as good as everyone described i am using it for 8 hours continuously for 2days after full charging it after the product arrived. Till there is no sign of battery down. So i am expecting as sony has said a 35 hours continuous play time.

3.The built quality is not upto the mark. For this range the plas...",4
9330,Nice product,5
9331,this product RS 4000 very high money,3
9332,Dissapointed with others review for the bass telling that it was not that high comparing jbl. But trust me this bass was worth the money !. I Bought it for 2.5k in BBD,3
9333,"I am giving 1 star to this product because of ugly return policy of flipkart. Product arrived prior 1 day and same day they return policy is over how? Why?

Now after using for 4/5 days I am fed up with this product. Call quality is really very poor. You will hear your own voice echo back. Other person will listen you like you are chocked or you have covered your mouth with something. Very bad experience",1
9334,"honest review, Don't wast your money..",1
9335,Very worst in this sony product plz don't buy it,1
9336,Everything is awesome just required lil bit more cuisioning,5
9337,"Detailed review after 1 month of use
Bass quality with sound:5 star
Connectivity to both : 4 star
Noise cancelling work:5 star ( u can talk clearly on bike ride also)
Fit for the ear:3 star ( due to some attractive design some time drop out while gymnastic or in gym workout also does not fit in ear while wearing helmet its paining)
Battery backup: 4.5 star ( u can use upto 5-6 hrs real time with one charge)
Price: 5 star
All along after one month of use left side of airdopes touch is not wor...",3
9338,"This product wasn't having a lot of reviews when I bought it. I was a bit worried whether I'm wasting my money. But after I used the airdopes I felt it's worth the money. The sound quality is excellent. During calls, the other person is able to hear your voice properly. The bass is awesome you'll enjoy metal as well as classic with this airdopes. I would just say, plug into the Nirvana.",5
9339,"I have just bought this couple of days back and I am extremely satisfied with the product. It has very good battery back up and lasted for over 5 hrs at a stretch for calls today (didn't test while listening to music yet for a long duration). The voice quality is very clear during calls from indoors, I have got that checked with multiple people (haven't tested outdoors yet). The touch response is pretty decent and responsive (takes a little while to get used to and not accidentally pause or a...",5
9340,"The delivery was super fast......

So writing about the pro's and con's of the product..

Pro's.....

*pairing is lightning speed....
*it's very handy...and comfortable in ears....
* Can be use while wearing helmets
* BASS is awesome......
* Battery backup up and is way better than i think...
* Touch controls are awesome....
Cons ...
There's no cons.... brilliant product",5
9341,Outstanding product Awsmmmm clearity nd basss is superb Nd very nice build quality Connectivity is very easy nd the charging case is also gr8 #MustPurchaseProduct 😍❤️,5
9342,Loved the product it's an A grade in every sphere be it the quality as well as the colur loved it thank you so much team for delivering it in such a short time 👍 really appreciate it .. ps no second thought just go and grab it before it goes Outta stock ☺️,5
9343,awesome sound quality just love it and calling experience is also very good very nice and premium feeling true wireless earbuds I am very happy with my purchase,5
9344,"Heart was glad to hear the voice… and its battery backup is very good .. Pesa Vashul Bhai🎶🎶🎶😍🥰😍🥰
Thank you flipkart 🥰🥰🥰 😍😍😍😍
😍😍😍😍😍😍😍👌👌👌👌👌",5
9345,"Bass is excellent 10outof10
Sound is nice 10outof10
Battery backup is very nice 10outof10
I think my money was not wasted.
Overall best dopes.( i loved )
👍👍👍 boAt's all product quality is very niceeee., 👍👌👌👌👌👌👌👌👌
( its a premium quality dopes.)
I like it colour, sound, bass and battery backup.
Its a awesome.",5
9346,"Reviewing after using 3 days.

Sound : So I'm going to tell you in sort and Simple, you'll not get better then this. I've tried JBL, Realme, Apple but they are not for music lovers Maybe they are good for calling.

Design : The only resign of deduction of 1 star. It was somewhat bulky and hevyier. In jeans pocket it was look like a stone.

Battery : You'll be impressed by the battery backup, case has 500mAh battery.

Connectivity : The connectivity was good and fast, I'm not facing any issues...",4
9347,"I was finding best earbuds since many year. I used so many products but i did not get satisfaction which i want. Mainly i was finding that product which is very good in bass which i could not find. then i booked this boat earbud and now i am fully satisfied by this product. Who is music or movie lover i recommend you for this product. I will rate this product
In sound = 5/5 when you watch any movie you feel that you watching in cenema hall.
In bass= 5/5 bass is very good
In battery backup =...",5
9348,"Great Product from BoAt
Actually I have not reviewed any products for past few years. But reviewing this product since this is so good for the price we pay. Using this for past two days and Iam really impressed with the sound clarity. I did not expect the bass to be as good as this. Call clarity is great.
Only problem I faced is connectivity. It takes some time to connect to the right ear bud.
Overall looks like a great product from BoAt.😍😍",5
9349,bass is nice & good sound quality little bit I confuse purchase this item on color but its will be nice color and good design. I loved it boat airdops.,5
9350,quality is good for this price. its just that i didn't expected that it works even though it fell on the ground so many times. It hit on the ground just like a dancing ball countless times. its not only good but durable too.,5
9351,"If you are thinking to buy a good quality wireless earbuds then don't think too much buy this product. Really awesome product. Great battery backup, hard built quality, and great sound. And the best thing about this product is that earbuds get automatically charged when you put them in a case. 👍",5
9352,Don't buy it one week it's work properly but after one week right side airdrops dosen't work,1
9353,It kind of work for a while. And then it will work if it likes to work,1
9354,"I gifted to my girlfriend and her review is as below :
It is very cute😍 pink colour, design is 👌👌👌👌sound quality is very nice. bass is also good 💯 battery back is also nice.overall I loved itis really worth product most memorable gift 😘💝🎁. Thank you so much bunny 💕",5
9355,"Everything is super fine other than the call quality. You'll be able to hear others voice properly but when in outdoors the other person will get lot of noise from outside world and it will be too difficult for them to listen to your voice only. However, bass is too good sound quality is awesome and it is also light weighted so it'll be very comfortable to use. Also the battery backup will not disappoint you. A good buy indeed!",4
9356,Sound quality is pretty good and build quality is also good .... But after some use ear bone starts paining little bit ......otherwise these are best in this range EVERY PRODUCT HAS ITS PROS AND CONS ....THESE EARPHONES HAVE ONLY ONE CON ........ IF YOUR ARE LOOKING FOR TRUE WIRELESS GO FOR IT,5
9357,Nyc product 💯💥 value of the money 💸💸 bass is NYS and nrml sound aslo nyc voice clarity is super touch control also super and pairing is very easy and fast also but starting Ear pain we can notice because before we don't have experience on it na that's way after it will okkkk........,4
9358,"The product is awesome
Base is very good i am adding this review after using this boat airdopes 381 for 1 week
This product is best i prefer you also to buy it",5
9359,Good product at this price of range best in segment I loved it's built quality and it's bass and it also has a decent battery backup,4
9360,"Excellent quality super b, I never seen this type of quality before , when I saw this I Fully love it ❤️🤩 excellent company",5
9361,"Altogether the sound is good but the case is not up to the mark as I expected..bass is good and the treble is also fantastic..but according to me this price range is bit higher it need to 999, then it's a worth buy..",4
9362,"BASS is superb ...you will never feel any lag in vedios..
I even play pubg found no lag... everything is more than expected ... I have purchased it and writing after 4 days of use.. I am more than satisfied with this product... and battery back up is given 3 hrs in booklet but they can last upto 4.5 hrs... they don't fall while gyming.. like if u found helpful !!😉",5
9363,Its best in all but having a size issue.... It is little bigger if you compare with Real me bud but sound quality is better than any other... Thank you,5
9364,"Best in class, worth of money. I dropped many time the airdopes by mistake, but not even a 1% change I found in sound or battery backup. Bluetooth connectivity is also very good. Overall I am satisfied with this product.",5
9365,"I have used many headphones.....i have also used many headphones of boat...bt i think was the best purchase....
Could have done a better design or the materials could have been better....other than that awesome sound quality...🤩",5
9366,"Just love the color. Sound clarity for songs is just great, Battery backup is really very good. I would love to recommend this for anyone. Just go for it.",4
9367,"Amazing product at this price point
Simple go for it
The built quality is good
The battery backup is awesome and it has fast changing technology
Maximum play hours is more then 20 hours according to the company says
I have buy this in flipkart Big billion days for 1199
This is quite awesome",5
9368,"This is fantastic for the price it comes with, if you compare the sound quality with premimum brands like Sony then sound quality is average but it punchs more them its weight. Build and design looks premium. Happy with the product",5
9369,"50 mah battery in each ear bud 4-5 hours of playback
500 mah charging case
5 minutes of charge gives 1 hour of playback
With the charging case the ear buds can be charged 4 to 5 times easily
1 hour of charge, charges the case as well as the ear buds fully and gives a high power backup🔋
Type-C charging port is very fast
I just loved this product from boAt 💛",5
9370,At this price segment it may be the best air pod but if i don't recommend it for girls or boys whose ear are small and it also comes out if you running jumping.bit more weight and big but build quality makes feel premium and overall it was nice experience related to this product.,4
9371,It is good product as i observed till now as expected nice as that love the product even it provides 1 yr warranty card with a charger and different size of buds and many more👍,5
9372,Sound quality is best bass is also good this product is awesome but built a'd design is something not good but delivery is vrsy fast 👍👍😍😍❤️❤️,3
9373,I would really speak my heart out and say that it is best in this price range. Awesome sound quality with great looks and fit.,5
9374,"I bought and use it for 2 days there is a newly launched product from boat company . Battery backup of these air buds is 5 hours in my usage and carry case charge these buds in 4 times . I think this buds are more better then realme buds air in comparison in battery backup and sound quality .
Realme buds only 3 hour battery and these boat airdrops have double the battery . And in other hand sound of these buds is very crisp and provide deep bass from 7mm dynamic driver. Which also support AAC...",5
9375,Product is good case size very big im not able to find any cover for this case else sound is good calling is average i bought it in 2000Rs so its a good deal,3
9376,what a sound quality of this beast airpod having... really its amazing in sound balancing.. super bass with perfect middle and trouble control . really its perfect for buying ...,5
9377,This is best headphn to buy under 3k..build quality is awsme..u will feel premium..it has a rubberised feeling when u hold the case as well as the ear buds..n the battery backup is a beast..till now no issues found..and the sound quality is best considering the price u are paying..fully satisfied with boat..,3
